# Last update: Sat, 16 Feb 2019 23:01:37 +0100
#
-e # IP	number of (black)lists
#
171.25.193.20	10
197.231.221.211	10
171.25.193.77	10
192.160.102.170	10
171.25.193.25	9
23.129.64.101	9
80.82.70.222	9
171.25.193.78	9
199.87.154.255	9
125.64.94.200	9
202.100.182.250	9
185.244.25.167	9
80.82.77.33	8
46.165.254.166	8
89.234.157.254	8
171.25.193.235	8
60.12.215.85	8
185.220.102.8	8
178.73.215.171	8
199.19.225.14	8
65.19.167.132	8
35.0.127.52	8
80.67.172.162	8
185.104.120.3	8
185.193.125.168	8
202.172.65.219	8
176.10.104.240	8
211.43.127.239	8
80.82.77.139	8
140.135.9.16	8
182.79.223.194	8
198.96.155.3	8
185.165.168.229	8
163.172.160.182	8
118.33.75.186	8
62.210.105.116	8
37.187.129.166	8
125.180.217.196	8
185.220.101.5	7
51.15.53.83	7
159.89.159.125	7
157.230.165.44	7
185.220.102.4	7
58.42.228.170	7
45.227.255.82	7
207.244.70.35	7
41.74.3.18	7
54.36.222.37	7
84.53.192.243	7
51.15.34.214	7
65.19.167.131	7
42.61.24.202	7
78.212.228.175	7
221.210.237.5	7
65.19.167.130	7
94.41.0.140	7
188.92.75.248	7
185.195.236.164	7
49.76.153.222	7
139.200.0.196	7
104.218.63.76	7
185.104.120.5	7
87.236.212.222	7
185.220.101.6	7
89.31.57.5	7
209.95.51.11	7
198.98.61.186	7
109.69.67.17	7
71.6.146.185	7
199.249.230.73	7
197.249.46.152	7
125.64.94.201	7
216.239.90.19	7
158.69.254.114	7
185.220.101.44	7
185.220.101.46	7
222.75.163.28	7
62.102.148.67	7
89.248.172.16	7
132.232.88.228	7
88.214.26.49	7
178.20.55.16	7
192.173.146.4	7
42.118.209.193	7
193.188.22.253	7
192.160.102.169	7
85.248.227.163	7
96.67.112.219	7
185.220.100.253	7
94.102.51.78	7
185.220.101.28	7
69.247.144.228	7
166.70.207.2	7
37.187.96.78	7
204.85.191.30	7
71.84.50.96	7
85.248.227.165	7
85.248.227.164	7
81.130.146.18	7
122.2.223.242	7
185.220.101.65	6
84.19.181.25	6
104.248.141.128	6
91.231.165.197	6
87.118.116.12	6
204.17.56.42	6
46.163.184.19	6
222.184.72.66	6
162.247.74.202	6
185.220.102.7	6
122.226.181.165	6
122.226.181.164	6
122.226.181.167	6
122.226.181.166	6
91.236.116.214	6
222.185.74.173	6
218.28.137.66	6
216.139.159.69	6
